date,league,matchup,team,player,role,status,stat,direction,market_line,tc_projection,tc_target,edge,threshold,raw_average,source,actual,result
2026-07-11,MLB,ARI@LAD,ARI,Geraldo Perdomo,,ACTIVE,runs,UNDER,1.2,0.5,,-0.7,,,OVER_UNDER,,PENDING
2026-07-11,MLB,ARI@LAD,LAD,Freddie Freeman,,ACTIVE,rbi,UNDER,1.2,0.5,,-0.7,,,OVER_UNDER,,PENDING
2026-07-11,MLB,ARI@LAD,LAD,Freddie Freeman,,ACTIVE,runs,UNDER,1.2,0.5,,-0.7,,,OVER_UNDER,,PENDING
2026-07-11,MLB,ARI@LAD,LAD,Dalton Rushing,,ACTIVE,hits,UNDER,1.2,0.5,,-0.7,,,OVER_UNDER,,PENDING
2026-07-11,MLB,ARI@LAD,LAD,Max Muncy,,ACTIVE,hits,UNDER,1.2,0.5,,-0.7,,,OVER_UNDER,,PENDING
2026-07-11,MLB,ARI@LAD,LAD,Max Muncy,,ACTIVE,rbi,UNDER,1.2,0.5,,-0.7,,,OVER_UNDER,,PENDING
2026-07-11,MLB,ARI@LAD,ARI,Corbin Carroll,,ACTIVE,rbi,UNDER,1.2,0.6,,-0.6,,,OVER_UNDER,,PENDING
2026-07-11,MLB,ARI@LAD,ARI,Geraldo Perdomo,,ACTIVE,hits,UNDER,1.2,0.7,,-0.5,,,OVER_UNDER,,PENDING
2026-07-11,MLB,ARI@LAD,ARI,Corbin Carroll,,ACTIVE,hits,UNDER,1.2,0.7,,-0.5,,,OVER_UNDER,,PENDING
2026-07-11,MLB,ARI@LAD,LAD,Mookie Betts,,ACTIVE,runs,UNDER,1.2,0.7,,-0.5,,,OVER_UNDER,,PENDING
2026-07-11,MLB,ARI@LAD,LAD,Shohei Ohtani,,ACTIVE,strikeouts,OVER,3.5,4,,0.5,,,OVER_UNDER,,PENDING
2026-07-11,MLB,ARI@LAD,LAD,Shohei Ohtani,,ACTIVE,runs,UNDER,1.2,0.7,,-0.5,,,OVER_UNDER,,PENDING
2026-07-11,MLB,ARI@LAD,LAD,Kyle Tucker,,ACTIVE,hits,FLAT,1.2,0.8,,-0.4,,,OVER_UNDER,,PENDING
2026-07-11,MLB,ARI@LAD,LAD,Kyle Tucker,,ACTIVE,rbi,FLAT,1.2,1,,-0.2,,,OVER_UNDER,,PENDING
2026-07-11,MLB,ARI@LAD,ARI,Gabriel Moreno,,ACTIVE,hits,FLAT,1.2,1.1,,-0.1,,,OVER_UNDER,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_DEF_1,DEF,starter,TKL,UNDER,1.0,0.81,1.0,-0.19,0.5,0.81,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_DEF_1,DEF,starter,FC,UNDER,0.5,0.28,0.5,-0.22,0.5,0.28,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_DEF_2,DEF,starter,TKL,UNDER,1.0,0.81,1.0,-0.19,0.5,0.81,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_DEF_2,DEF,starter,FC,UNDER,0.5,0.28,0.5,-0.22,0.5,0.28,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_DEF_3,DEF,starter,TKL,UNDER,1.0,0.81,1.0,-0.19,0.5,0.81,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_DEF_3,DEF,starter,FC,UNDER,0.5,0.28,0.5,-0.22,0.5,0.28,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_DEF_4,DEF,starter,TKL,UNDER,1.0,0.81,1.0,-0.19,0.5,0.81,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_DEF_4,DEF,starter,FC,UNDER,0.5,0.28,0.5,-0.22,0.5,0.28,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_1,MID,starter,S,UNDER,0.5,0.39,0.5,-0.11,0.5,0.39,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_1,MID,starter,COR,UNDER,0.5,0.28,0.5,-0.22,0.5,0.28,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_1,MID,starter,TKL,OVER,0.5,0.65,0.5,0.15,0.5,0.65,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_1,MID,starter,FC,OVER,0.5,0.56,0.5,0.06,0.5,0.56,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_2,MID,starter,S,UNDER,0.5,0.39,0.5,-0.11,0.5,0.39,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_2,MID,starter,COR,UNDER,0.5,0.28,0.5,-0.22,0.5,0.28,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_2,MID,starter,TKL,OVER,0.5,0.65,0.5,0.15,0.5,0.65,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_2,MID,starter,FC,OVER,0.5,0.56,0.5,0.06,0.5,0.56,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_3,MID,starter,S,UNDER,0.5,0.39,0.5,-0.11,0.5,0.39,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_3,MID,starter,COR,UNDER,0.5,0.28,0.5,-0.22,0.5,0.28,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_3,MID,starter,TKL,OVER,0.5,0.65,0.5,0.15,0.5,0.65,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_3,MID,starter,FC,OVER,0.5,0.56,0.5,0.06,0.5,0.56,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_4,MID,starter,S,UNDER,0.5,0.39,0.5,-0.11,0.5,0.39,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_4,MID,starter,COR,UNDER,0.5,0.28,0.5,-0.22,0.5,0.28,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_4,MID,starter,TKL,OVER,0.5,0.65,0.5,0.15,0.5,0.65,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_MID_4,MID,starter,FC,OVER,0.5,0.56,0.5,0.06,0.5,0.56,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_FWD_1,FWD,starter,SOT,OVER,0.5,0.67,0.5,0.17,0.5,0.67,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_FWD_1,FWD,starter,S,OVER,1.0,1.16,1.0,0.16,0.5,1.16,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_FWD_1,FWD,starter,FC,UNDER,0.5,0.28,0.5,-0.22,0.5,0.28,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_FWD_2,FWD,starter,SOT,OVER,0.5,0.67,0.5,0.17,0.5,0.67,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_FWD_2,FWD,starter,S,OVER,1.0,1.16,1.0,0.16,0.5,1.16,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_FWD_2,FWD,starter,FC,UNDER,0.5,0.28,0.5,-0.22,0.5,0.28,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_FWD_3,FWD,bench,S,UNDER,0.5,0.35,0.5,-0.15,0.5,0.35,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_FWD_3,FWD,bench,PAS,OVER,1.0,1.17,1.0,0.17,0.5,1.17,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_FWD_4,FWD,bench,S,UNDER,0.5,0.35,0.5,-0.15,0.5,0.35,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,France,France_FWD_4,FWD,bench,PAS,OVER,1.0,1.17,1.0,0.17,0.5,1.17,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_DEF_1,DEF,starter,COR,UNDER,0.5,0.42,0.5,-0.08,0.5,0.42,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_DEF_1,DEF,starter,TKL,OVER,0.5,0.7,0.5,0.2,0.5,0.7,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_DEF_2,DEF,starter,COR,UNDER,0.5,0.42,0.5,-0.08,0.5,0.42,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_DEF_2,DEF,starter,TKL,OVER,0.5,0.7,0.5,0.2,0.5,0.7,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_DEF_3,DEF,starter,COR,UNDER,0.5,0.42,0.5,-0.08,0.5,0.42,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_DEF_3,DEF,starter,TKL,OVER,0.5,0.7,0.5,0.2,0.5,0.7,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_DEF_4,DEF,starter,COR,UNDER,0.5,0.42,0.5,-0.08,0.5,0.42,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_DEF_4,DEF,starter,TKL,OVER,0.5,0.7,0.5,0.2,0.5,0.7,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_MID_1,MID,starter,S,UNDER,0.5,0.34,0.5,-0.16,0.5,0.34,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_MID_1,MID,starter,TKL,OVER,0.5,0.56,0.5,0.06,0.5,0.56,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_MID_2,MID,starter,S,UNDER,0.5,0.34,0.5,-0.16,0.5,0.34,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_MID_2,MID,starter,TKL,OVER,0.5,0.56,0.5,0.06,0.5,0.56,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_MID_3,MID,starter,S,UNDER,0.5,0.34,0.5,-0.16,0.5,0.34,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_MID_3,MID,starter,TKL,OVER,0.5,0.56,0.5,0.06,0.5,0.56,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_MID_4,MID,starter,S,UNDER,0.5,0.34,0.5,-0.16,0.5,0.34,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_MID_4,MID,starter,TKL,OVER,0.5,0.56,0.5,0.06,0.5,0.56,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_FWD_1,FWD,starter,SOT,OVER,0.5,0.57,0.5,0.07,0.5,0.57,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_FWD_2,FWD,starter,SOT,OVER,0.5,0.57,0.5,0.07,0.5,0.57,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_FWD_3,FWD,bench,S,UNDER,0.5,0.3,0.5,-0.2,0.5,0.3,SELF_EDGE,,PENDING
2026-07-11,WORLD_CUP,Spain@France,Spain,Spain_FWD_4,FWD,bench,S,UNDER,0.5,0.3,0.5,-0.2,0.5,0.3,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Carla Leite,START,ACTIVE,PTS,OVER,13.3,15.1,13.3,1.8,0.5,15.1,SELF_EDGE,13.0,M
2026-07-11,WNBA,POR@ATL,POR,Carla Leite,START,ACTIVE,AST,OVER,4.9,5.6,4.9,0.7,0.5,5.6,SELF_EDGE,10.0,H
2026-07-11,WNBA,POR@ATL,POR,Carla Leite,START,ACTIVE,BLK,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,0.0,H
2026-07-11,WNBA,POR@ATL,POR,Bridget Carleton,START,ACTIVE,PTS,OVER,9.9,11.3,9.9,1.4,0.5,11.3,SELF_EDGE,12.0,H
2026-07-11,WNBA,POR@ATL,POR,Megan Gustafson,START,ACTIVE,PTS,OVER,11.7,13.3,11.7,1.6,0.5,13.3,SELF_EDGE,17.0,H
2026-07-11,WNBA,POR@ATL,POR,Megan Gustafson,START,ACTIVE,REB,OVER,3.8,4.3,3.8,0.5,0.5,4.3,SELF_EDGE,4.0,H
2026-07-11,WNBA,POR@ATL,POR,Emily Engstler,START,ACTIVE,PTS,OVER,8.3,9.4,8.3,1.1,0.5,9.4,SELF_EDGE,14.0,H
2026-07-11,WNBA,POR@ATL,POR,Emily Engstler,START,ACTIVE,REB,OVER,4.8,5.5,4.8,0.7,0.5,5.5,SELF_EDGE,11.0,H
2026-07-11,WNBA,POR@ATL,POR,Sarah Ashlee Barker,START,ACTIVE,PTS,OVER,9.3,10.6,9.3,1.3,0.5,10.6,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Sarah Ashlee Barker,START,ACTIVE,REB,OVER,3.9,4.4,3.9,0.5,0.5,4.4,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Frieda Buhner,BENCH,ACTIVE,PTS,OVER,8.4,9.5,8.4,1.1,0.5,9.5,SELF_EDGE,11.0,H
2026-07-11,WNBA,POR@ATL,POR,Luisa Geiselsoder,BENCH,ACTIVE,PTS,OVER,6.4,7.3,6.4,0.9,0.5,7.3,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Luisa Geiselsoder,BENCH,ACTIVE,REB,OVER,3.4,3.9,3.4,0.5,0.5,3.9,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Teja Oblak,BENCH,ACTIVE,PTS,OVER,9.8,11.1,9.8,1.3,0.5,11.1,SELF_EDGE,10.0,H
2026-07-11,WNBA,POR@ATL,POR,Teja Oblak,BENCH,ACTIVE,AST,OVER,4.8,5.4,4.8,0.6,0.5,5.4,SELF_EDGE,7.0,H
2026-07-11,WNBA,POR@ATL,POR,Teja Oblak,BENCH,ACTIVE,BLK,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,0.0,H
2026-07-11,WNBA,POR@ATL,POR,Nyadiew Puoch,BENCH,ACTIVE,PTS,OVER,4.3,4.9,4.3,0.6,0.5,4.9,SELF_EDGE,9.0,H
2026-07-11,WNBA,POR@ATL,POR,Serah Williams,BENCH,ACTIVE,PTS,OVER,6.3,7.2,6.3,0.9,0.5,7.2,SELF_EDGE,15.0,H
2026-07-11,WNBA,POR@ATL,POR,Serah Williams,BENCH,ACTIVE,REB,OVER,5.2,5.9,5.2,0.7,0.5,5.9,SELF_EDGE,2.0,M
2026-07-11,WNBA,POR@ATL,POR,Kamiah Smalls,BENCH,ACTIVE,PTS,OVER,11.0,12.5,11.0,1.5,0.5,12.5,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Kamiah Smalls,BENCH,ACTIVE,REB,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Kamiah Smalls,BENCH,ACTIVE,AST,OVER,4.4,5.0,4.4,0.6,0.5,5.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Kamiah Smalls,BENCH,ACTIVE,STL,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Kamiah Smalls,BENCH,ACTIVE,BLK,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Jordan Harrison,BENCH,ACTIVE,PTS,OVER,4.8,5.5,4.8,0.7,0.5,5.5,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Jordan Harrison,BENCH,ACTIVE,AST,OVER,7.6,8.6,7.6,1.0,0.5,8.6,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Jordan Harrison,BENCH,ACTIVE,3PM,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Jordan Harrison,BENCH,ACTIVE,STL,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Holly Winterburn,BENCH,ACTIVE,PTS,OVER,6.5,7.4,6.5,0.9,0.5,7.4,SELF_EDGE,1.0,M
2026-07-11,WNBA,POR@ATL,POR,Holly Winterburn,BENCH,ACTIVE,AST,OVER,5.0,5.7,5.0,0.7,0.5,5.7,SELF_EDGE,1.0,M
2026-07-11,WNBA,POR@ATL,POR,Holly Winterburn,BENCH,ACTIVE,BLK,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,0.0,H
2026-07-11,WNBA,POR@ATL,POR,Karlie Samuelson,BENCH,ACTIVE,PTS,OVER,5.7,6.5,5.7,0.8,0.5,6.5,SELF_EDGE,0.0,M
2026-07-11,WNBA,POR@ATL,POR,Sania Feagin,BENCH,ACTIVE,PTS,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Sania Feagin,BENCH,ACTIVE,AST,OVER,4.4,5.0,4.4,0.6,0.5,5.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Sania Feagin,BENCH,ACTIVE,3PM,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Sania Feagin,BENCH,ACTIVE,STL,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,POR,Sania Feagin,BENCH,ACTIVE,BLK,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,ATL,Allisha Gray,START,ACTIVE,PTS,OVER,12.3,14.0,12.3,1.7,0.5,14.0,SELF_EDGE,20.0,H
2026-07-11,WNBA,POR@ATL,ATL,Rhyne Howard,START,ACTIVE,PTS,OVER,11.8,13.4,11.8,1.6,0.5,13.4,SELF_EDGE,10.0,M
2026-07-11,WNBA,POR@ATL,ATL,Angel Reese,START,ACTIVE,PTS,OVER,10.8,12.3,10.8,1.5,0.5,12.3,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,ATL,Angel Reese,START,ACTIVE,REB,OVER,8.4,9.6,8.4,1.2,0.5,9.6,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,ATL,Jordin Canada,START,ACTIVE,PTS,OVER,8.0,9.1,8.0,1.1,0.5,9.1,SELF_EDGE,10.0,H
2026-07-11,WNBA,POR@ATL,ATL,Jordin Canada,START,ACTIVE,AST,OVER,5.0,5.7,5.0,0.7,0.5,5.7,SELF_EDGE,12.0,H
2026-07-11,WNBA,POR@ATL,ATL,Naz Hillmon,START,ACTIVE,PTS,OVER,6.2,7.1,6.2,0.9,0.5,7.1,SELF_EDGE,15.0,H
2026-07-11,WNBA,POR@ATL,ATL,Naz Hillmon,START,ACTIVE,REB,OVER,3.4,3.9,3.4,0.5,0.5,3.9,SELF_EDGE,8.0,H
2026-07-11,WNBA,POR@ATL,ATL,Madina Okot,BENCH,ACTIVE,PTS,OVER,13.0,14.8,13.0,1.8,0.5,14.8,SELF_EDGE,19.0,H
2026-07-11,WNBA,POR@ATL,ATL,Madina Okot,BENCH,ACTIVE,REB,OVER,8.4,9.6,8.4,1.2,0.5,9.6,SELF_EDGE,8.0,M
2026-07-11,WNBA,POR@ATL,ATL,Isobel Borlase,BENCH,ACTIVE,PTS,OVER,7.8,8.9,7.8,1.1,0.5,8.9,SELF_EDGE,4.0,M
2026-07-11,WNBA,POR@ATL,ATL,Te-Hina Paopao,BENCH,ACTIVE,PTS,OVER,6.7,7.6,6.7,0.9,0.5,7.6,SELF_EDGE,3.0,M
2026-07-11,WNBA,POR@ATL,ATL,Sika Kone,BENCH,ACTIVE,PTS,OVER,7.0,7.9,7.0,0.9,0.5,7.9,SELF_EDGE,11.0,H
2026-07-11,WNBA,POR@ATL,ATL,Sika Kone,BENCH,ACTIVE,REB,OVER,4.3,4.9,4.3,0.6,0.5,4.9,SELF_EDGE,5.0,H
2026-07-11,WNBA,POR@ATL,ATL,Sika Kone,BENCH,ACTIVE,BLK,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,0.0,H
2026-07-11,WNBA,POR@ATL,ATL,Indya Nivar,BENCH,ACTIVE,PTS,OVER,6.2,7.1,6.2,0.9,0.5,7.1,SELF_EDGE,0.0,M
2026-07-11,WNBA,POR@ATL,ATL,Indya Nivar,BENCH,ACTIVE,REB,OVER,6.2,7.1,6.2,0.9,0.5,7.1,SELF_EDGE,0.0,M
2026-07-11,WNBA,POR@ATL,ATL,Aaliyah Nye,BENCH,ACTIVE,PTS,OVER,4.1,4.7,4.1,0.6,0.5,4.7,SELF_EDGE,0.0,M
2026-07-11,WNBA,POR@ATL,ATL,Aaliyah Nye,BENCH,ACTIVE,REB,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,0.0,H
2026-07-11,WNBA,POR@ATL,ATL,Aaliyah Nye,BENCH,ACTIVE,BLK,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,0.0,H
2026-07-11,WNBA,POR@ATL,ATL,Amy Okonkwo,BENCH,ACTIVE,PTS,OVER,22.0,25.0,22.0,3.0,0.5,25.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,ATL,Amy Okonkwo,BENCH,ACTIVE,REB,OVER,22.0,25.0,22.0,3.0,0.5,25.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,ATL,Amy Okonkwo,BENCH,ACTIVE,AST,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,ATL,Amy Okonkwo,BENCH,ACTIVE,3PM,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,ATL,Amy Okonkwo,BENCH,ACTIVE,STL,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,ATL,Amy Okonkwo,BENCH,ACTIVE,BLK,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,ATL,Shatori Walker-Kimbrough,BENCH,ACTIVE,PTS,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,ATL,Shatori Walker-Kimbrough,BENCH,ACTIVE,REB,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,ATL,Shatori Walker-Kimbrough,BENCH,ACTIVE,AST,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,ATL,Shatori Walker-Kimbrough,BENCH,ACTIVE,3PM,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,ATL,Shatori Walker-Kimbrough,BENCH,ACTIVE,STL,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,POR@ATL,ATL,Shatori Walker-Kimbrough,BENCH,ACTIVE,BLK,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Kahleah Copper,START,ACTIVE,PTS,OVER,14.1,16.0,14.1,1.9,0.5,16.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Alyssa Thomas,START,ACTIVE,PTS,OVER,9.6,10.9,9.6,1.3,0.5,10.9,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Alyssa Thomas,START,ACTIVE,REB,OVER,4.5,5.1,4.5,0.6,0.5,5.1,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Alyssa Thomas,START,ACTIVE,AST,OVER,5.4,6.1,5.4,0.7,0.5,6.1,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Alyssa Thomas,START,ACTIVE,3PM,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,DeWanna Bonner,START,ACTIVE,PTS,OVER,7.5,8.5,7.5,1.0,0.5,8.5,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,DeWanna Bonner,START,ACTIVE,REB,OVER,4.3,4.9,4.3,0.6,0.5,4.9,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Natasha Mack,START,ACTIVE,PTS,OVER,8.1,9.2,8.1,1.1,0.5,9.2,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Natasha Mack,START,ACTIVE,REB,OVER,7.2,8.2,7.2,1.0,0.5,8.2,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Valeriane Ayayi,BENCH,ACTIVE,PTS,OVER,10.2,11.6,10.2,1.4,0.5,11.6,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Valeriane Ayayi,BENCH,ACTIVE,REB,OVER,4.1,4.7,4.1,0.6,0.5,4.7,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Noemie Brochant,BENCH,ACTIVE,PTS,OVER,5.6,6.4,5.6,0.8,0.5,6.4,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Lexi Held,BENCH,ACTIVE,PTS,OVER,7.0,8.0,7.0,1.0,0.5,8.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Monique Akoa Makani,START,ACTIVE,PTS,OVER,9.2,10.4,9.2,1.2,0.5,10.4,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Jovana Nogic,BENCH,ACTIVE,PTS,OVER,11.3,12.8,11.3,1.5,0.5,12.8,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Jovana Nogic,BENCH,ACTIVE,BLK,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Peyton Williams,BENCH,ACTIVE,PTS,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Peyton Williams,BENCH,ACTIVE,REB,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Peyton Williams,BENCH,ACTIVE,AST,OVER,7.3,8.3,7.3,1.0,0.5,8.3,SELF_EDGE,,PENDING
2026-07-11,WNBA,PHX@LV,PHX,Peyton Williams,BENCH,ACTIVE,3PM,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,,PENDING
